MS-Omics ID,Acetic acid,Formic acid,Propanoic acid,2-Methylpropanoic acid,Butanoic acid,3-Methylbutanoic acid,Pentanoic acid,4-Methylpentanoic acid,Hexanoic acid,Heptanoic acid
SA069531,2.019,0.056,1.093,0.033,0.032,0.018,0.070,0.004,0.003,0.000
SA069532,3.333,0.080,2.082,0.031,0.044,0.010,0.065,0.001,0.003,0.000
SA069533,2.313,0.118,0.613,0.029,0.060,0.014,0.071,0.005,0.005,0.000
SA069534,2.144,0.064,1.257,0.019,0.027,0.006,0.046,0.001,0.003,0.000
SA069535,3.244,0.101,2.046,0.025,0.041,0.009,0.087,0.003,0.004,0.000
SA069536,3.497,0.087,2.450,0.023,0.047,0.009,0.073,0.001,0.004,0.000
SA069537,1.396,0.050,0.925,0.017,0.038,0.006,0.047,0.002,0.003,0.000
SA069538,3.118,0.085,1.177,0.024,0.055,0.013,0.057,0.001,0.003,0.000
SA069539,3.587,0.126,1.623,0.032,0.082,0.014,0.105,0.001,0.007,0.000
SA069540,0.995,0.059,0.514,0.029,0.019,0.013,0.037,0.002,0.003,0.000
SA069541,0.369,0.047,0.130,0.007,0.003,0.005,0.005,0.001,0.001,0.000
SA069542,1.088,0.047,0.560,0.020,0.017,0.010,0.032,0.002,0.003,0.000
SA069543,1.807,0.081,0.876,0.015,0.031,0.007,0.044,0.001,0.004,0.000
SA069544,1.448,0.088,0.760,0.014,0.012,0.005,0.029,0.000,0.003,0.000
SA069545,2.804,0.068,1.456,0.033,0.063,0.014,0.090,0.004,0.005,0.001
SA069546,5.061,0.131,2.746,0.081,0.136,0.030,0.157,0.006,0.011,0.000
SA069547,1.712,0.083,0.800,0.023,0.015,0.007,0.033,0.003,0.003,0.000
SA069548,2.675,0.078,1.696,0.022,0.028,0.008,0.066,0.002,0.003,0.000
SA069549,4.061,0.141,1.708,0.046,0.091,0.021,0.128,0.009,0.008,0.000
SA069550,2.015,0.084,0.970,0.030,0.029,0.010,0.058,0.001,0.005,0.000
SA069551,2.878,0.105,1.367,0.031,0.037,0.013,0.060,0.001,0.003,0.000
SA069552,2.919,0.133,1.589,0.040,0.033,0.014,0.068,0.007,0.005,0.000
SA069553,1.493,0.087,0.717,0.022,0.017,0.012,0.036,0.001,0.002,0.000
SA069554,1.953,0.067,1.322,0.014,0.019,0.004,0.037,0.001,0.002,0.000
SA069555,0.650,0.092,0.240,0.019,0.010,0.012,0.019,0.001,0.003,0.000
SA069556,1.105,0.050,0.556,0.014,0.015,0.006,0.034,0.001,0.002,0.000
SA069557,1.279,0.111,0.869,0.007,0.011,0.002,0.024,0.001,0.002,0.000
SA069558,3.909,0.100,2.074,0.076,0.077,0.031,0.120,0.007,0.008,0.000
SA069559,2.125,0.094,1.323,0.014,0.060,0.006,0.051,0.001,0.004,0.000
SA069560,3.184,0.085,1.438,0.022,0.051,0.005,0.073,0.001,0.005,0.000
SA069561,3.379,0.098,2.179,0.028,0.037,0.011,0.088,0.002,0.005,0.000
SA069562,2.379,0.085,1.856,0.023,0.039,0.008,0.063,0.001,0.003,0.000
SA069563,1.583,0.077,0.734,0.027,0.029,0.011,0.044,0.001,0.003,0.000
SA069564,3.116,0.094,1.638,0.046,0.107,0.022,0.102,0.003,0.008,0.001
SA069565,3.965,0.076,2.127,0.041,0.064,0.019,0.092,0.003,0.005,0.000
SA069566,2.498,0.057,1.389,0.020,0.027,0.009,0.050,0.002,0.003,0.000
SA069567,4.301,0.109,2.039,0.057,0.101,0.025,0.153,0.004,0.007,0.000
SA069568,1.332,0.062,0.663,0.017,0.021,0.008,0.043,0.003,0.003,0.001
SA069569,1.256,0.060,0.489,0.015,0.013,0.008,0.024,0.001,0.001,0.000
SA069570,3.661,0.110,1.981,0.047,0.078,0.019,0.104,0.005,0.007,0.000
SA069571,1.019,0.060,0.466,0.013,0.017,0.005,0.024,0.000,0.002,0.000
SA069572,3.587,0.095,1.706,0.031,0.058,0.009,0.088,0.001,0.005,0.000
SA069573,1.487,0.064,1.000,0.023,0.032,0.010,0.046,0.002,0.003,0.000
SA069574,2.386,0.060,1.220,0.028,0.037,0.011,0.068,0.002,0.004,0.000
SA069575,1.958,0.081,1.289,0.022,0.025,0.010,0.052,0.001,0.003,0.000
SA069576,2.819,0.081,1.751,0.022,0.032,0.006,0.074,0.005,0.004,0.001
SA069577,1.847,0.097,1.310,0.017,0.023,0.006,0.009,0.001,0.003,0.000
SA069578,3.146,0.094,2.290,0.024,0.054,0.008,0.078,0.001,0.004,0.000
SA069579,2.900,0.063,1.665,0.025,0.045,0.010,0.058,0.001,0.003,0.001
SA069580,1.684,0.062,0.748,0.016,0.015,0.006,0.037,0.000,0.002,0.001
SA069581,2.159,0.116,0.998,0.009,0.020,0.002,0.030,0.002,0.004,0.000
SA069582,2.908,0.106,1.755,0.019,0.083,0.006,0.084,0.002,0.004,0.000
SA069583,1.647,0.164,1.136,0.021,0.046,0.008,0.056,0.004,0.004,0.000
SA069584,1.957,0.080,0.519,0.018,0.036,0.009,0.045,0.001,0.003,0.001
SA069585,1.131,0.051,0.892,0.008,0.023,0.002,0.031,0.000,0.002,0.000
SA069586,3.238,0.107,2.134,0.032,0.050,0.016,0.091,0.002,0.004,0.000
SA069587,0.771,0.096,0.355,0.018,0.011,0.010,0.022,0.001,0.003,0.000
SA069588,0.782,0.115,0.451,0.007,0.004,0.003,0.004,0.001,0.002,0.000
SA069589,3.318,0.109,1.600,0.031,0.064,0.008,0.076,0.001,0.004,0.000
SA069590,3.116,0.088,1.805,0.027,0.043,0.013,0.071,0.001,0.003,0.000
SA069591,0.829,0.058,0.485,0.009,0.012,0.005,0.027,0.001,0.002,0.000
SA069592,3.412,0.095,1.982,0.029,0.052,0.009,0.091,0.001,0.005,0.000
SA069593,3.244,0.075,1.533,0.025,0.073,0.009,0.073,0.001,0.004,0.001
SA069594,1.708,0.072,0.778,0.021,0.021,0.010,0.034,0.001,0.003,0.000
SA069595,2.827,0.085,1.359,0.040,0.015,0.016,0.042,0.003,0.004,0.000
SA069596,3.551,0.089,1.770,0.058,0.090,0.020,0.102,0.001,0.005,0.000
